RPM,Torque (ft-lbs),Horsepower
4300,35,28.65575019
4400,35.75,29.95049505
4500,36.5,31.27380046
4600,37.25,32.62566641
4700,38,34.00609292
4800,38.75,35.41507997
4900,39.5,36.85262757
5000,40.25,38.31873572
5100,41,39.81340442
5200,41.75,41.33663366
5300,42.5,42.88842346
5400,43.25,44.4687738
5500,44,46.07768469
5600,44.75,47.71515613
5700,45.5,49.38118812
5800,46.25,51.07578065
5900,47,52.79893374
6000,47.75,54.55064737
6100,48.5,56.33092155
6200,49.25,58.13975628
6300,50,59.97715156
6400,50.75,61.84310739
6500,51.5,63.73762376
6600,52.25,65.66070069
6700,53,67.61233816
6800,53.75,69.59253618
6900,54.5,71.60129474
7000,55.25,73.63861386
7100,56,75.70449353
7200,56.75,77.79893374
7300,57.5,79.9219345
7400,57,80.312262
7500,56.5,80.68354912
7600,56,81.03579589
7700,55.5,81.36900228
7800,55,81.68316832
7900,54.5,81.97829398
8000,54,82.25437928
8100,53.5,82.51142422
8200,53,82.74942879
8300,52.5,82.96839299
8400,52,83.16831683
8500,51.5,83.3492003
8600,50,81.87357197
8700,48.5,80.34082254
8800,47,78.75095202
8900,45.5,77.1039604
9000,44,75.39984768
9100,42.5,73.63861386
9200,41,71.82025895
9300,39.5,69.94478294
9400,38,68.01218583
9500,36.5,66.02246763
9600,37.5,68.54531607
9700,38.5,71.10624524
9800,39.5,73.70525514
9900,40.5,76.34234577
10000,41.5,79.01751714
10100,42.5,81.73076923
10200,43.5,84.48210206
10300,44.5,87.27151561
10400,45.5,90.0990099
10500,46.5,92.96458492
10600,46.25,93.34539223
10700,46,93.71667936
10800,45.75,94.07844631
10900,45.5,94.43069307
11000,45.25,94.77341965
11100,45,95.10662605
11200,44.75,95.43031226
11300,44.5,95.74447829
11400,44.25,96.04912414
11500,44,96.34424981
11600,43.75,96.62985529
11700,43.5,96.90594059
11800,43.25,97.17250571
11900,43,97.42955065
12000,42.75,97.6770754
12100,42.5,97.91507997
12200,42.25,98.14356436
12300,42,98.36252856
12400,41.75,98.57197258
12500,41.5,98.77189642
12600,41.25,98.96230008
12700,41,99.14318355
12800,40.75,99.31454684
12900,40.5,99.47638995
13000,40.25,99.62871287
13100,40,99.77151561
13200,39.75,99.90479817
13300,39.5,100.0285605
13400,39.25,100.1428027
13500,39,100.2475248
13600,38.75,100.3427266
13700,38.5,100.4284082
13800,38.25,100.5045697
13900,38,100.571211
14000,37.75,100.6283321
14100,37.5,100.675933
14200,37.25,100.7140137
14300,37,100.7425743
14400,36.75,100.7616146
14500,36.5,100.7711348
14600,36.25,100.7711348
14700,36,100.7616146
14800,35.75,100.7425743
14900,35.5,100.7140137
15000,35.25,100.675933
